SITE,DTS,COUNTID,LANE,DIR,SPD,AX,GW_TOT,HEADT,GAPT,LENTH,CS,AWT01,AWT02,AWT03,AWT04,AWT05,AWT06,AWT07,AWT08,AWT09,W1_2,W2_3,W3_4,W4_5,W5_6,W6_7,W7_8,W8_9,TYPE
405,20000110T114642,99674,1,1,83,2,8310,5.8,5.6,761,4,5210,3100,0,0,0,0,0,0,0,506,0,0,0,0,0,0,0,11
405,20000110T114719,99675,1,1,101,2,4220,2,1.8,679,4,1980,2240,0,0,0,0,0,0,0,424,0,0,0,0,0,0,0,11
405,20000110T114742,99676,1,1,87,4,13380,4.3,4.1,1750,5,5720,2830,2520,2310,0,0,0,0,0,521,552,474,0,0,0,0,0,1111
405,20000110T114750,99677,1,1,89,2,10180,7.5,6.8,819,4,5110,5070,0,0,0,0,0,0,0,564,0,0,0,0,0,0,0,11
405,20000110T114815,99678,1,1,89,4,15740,3.2,3.1,1408,6,3460,7090,2470,2720,0,0,0,0,0,379,633,141,0,0,0,0,0,112
405,20000110T114818,99679,1,1,87,4,5410,3.1,2.4,1259,6,2290,1670,720,730,0,0,0,0,0,379,575,133,0,0,0,0,0,112
405,20000110T114859,99680,1,1,85,4,14320,5.6,5.4,1761,5,5560,3650,2190,2920,0,0,0,0,0,502,555,449,0,0,0,0,0,1111
405,20000110T114945,99681,1,1,87,5,7070,2.6,2.6,1476,6,2580,1940,860,780,910,0,0,0,0,368,593,134,126,0,0,0,0,113
405,20000110T114947,99682,1,1,89,5,14410,2.8,2.1,1902,5,3620,4400,2710,2650,1030,0,0,0,0,497,135,491,525,0,0,0,0,1211
405,20000110T115100,99683,1,1,86,4,13380,0.8,0.7,1885,5,3880,4880,2410,2210,0,0,0,0,0,473,690,467,0,0,0,0,0,1111
405,20000110T115133,99684,1,1,89,4,16890,1.6,1.4,1356,6,5230,4900,3310,3450,0,0,0,0,0,367,600,134,0,0,0,0,0,112
405,20000110T115140,99685,1,1,80,2,6370,7.4,6.8,779,4,4300,2070,0,0,0,0,0,0,0,524,0,0,0,0,0,0,0,11
405,20000110T115202,99686,1,1,88,4,17570,3.4,3.2,1507,6,5790,5300,2960,3520,0,0,0,0,0,387,731,134,0,0,0,0,0,112
405,20000110T115231,99687,1,1,85,4,11480,3.5,3.3,1792,5,5850,3020,1390,1220,0,0,0,0,0,524,542,471,0,0,0,0,0,1111
405,20000110T115300,99688,1,1,88,3,11580,7.4,7.2,904,4,3500,4950,3130,0,0,0,0,0,0,509,140,0,0,0,0,0,0,12
405,20000110T115340,99689,1,1,85,2,7290,5,4.9,751,4,3800,3490,0,0,0,0,0,0,0,496,0,0,0,0,0,0,0,11
405,20000110T115350,99690,1,1,80,4,18610,2.1,1.9,983,6,2480,4670,6860,4600,0,0,0,0,0,383,383,131,0,0,0,0,0,112
405,20000110T115449,99691,1,1,89,4,14400,2.1,1.9,1504,6,4630,4630,2480,2660,0,0,0,0,0,386,724,139,0,0,0,0,0,112
405,20000110T115727,99692,1,1,85,3,10280,5.3,5.2,634,4,4750,2170,3360,0,0,0,0,0,0,390,131,0,0,0,0,0,0,12
405,20000110T115806,99693,1,1,96,2,5660,1,0.9,712,4,3080,2580,0,0,0,0,0,0,0,457,0,0,0,0,0,0,0,11
405,20000110T115901,99694,1,1,86,2,5180,3,2.9,745,4,3450,1730,0,0,0,0,0,0,0,490,0,0,0,0,0,0,0,11
405,20000110T115946,99695,1,1,88,4,20580,2.6,2.4,1376,6,6860,5810,3960,3950,0,0,0,0,0,360,624,137,0,0,0,0,0,112
405,20000110T120006,99696,1,1,84,2,10790,6.5,6.4,774,4,3510,7280,0,0,0,0,0,0,0,519,0,0,0,0,0,0,0,11
405,20000110T120300,99697,1,1,88,2,6590,3.7,3.6,811,4,2690,3900,0,0,0,0,0,0,0,556,0,0,0,0,0,0,0,11
405,20000110T120358,99698,1,1,86,4,22970,5.2,5.1,1491,6,5670,4680,5760,6860,0,0,0,0,0,378,659,199,0,0,0,0,0,112
405,20000110T120425,99699,1,1,93,2,4820,1.3,1.2,750,4,3100,1720,0,0,0,0,0,0,0,495,0,0,0,0,0,0,0,11
